AnnoScolastico,AreaGeografica,Regione,Provincia,CodiceIstitutoRiferimento,DenominazioneIstitutoRiferimento,CodiceScuola,DenominazioneScuola,IndirizzoScuola,CAPScuola,CodiceComuneScuola,DescrizioneComune,DescrizioneCaratteristicaScuola,DescrizioneTipologiaGradoIstruzioneScuola,IndicazioneSedeDirettivo,IndicazioneSedeOmnicomprensivo,IndirizzoEmailScuola,IndirizzoPecScuola,SitoWebScuola,SedeScolastica
202526,ISOLE,SICILIA,MESSINA,METF040006,I.T.I.TORRICELLI - G.TOMASI DI LAMPEDUSA,METF040006,I.T.I.TORRICELLI - G.TOMASI DI LAMPEDUSA,VIA VALLONE POSTA SNC,98076,I199,SANT'AGATA DI MILITELLO,NORMALE,ISTITUTO TECNICO INDUSTRIALE,SI,Non Disponibile,METF040006@istruzione.it,metf040006@pec.istruzione.it,www.itisetorricelli.edu.it,SI
202526,ISOLE,SICILIA,SIRACUSA,SRIS016007,"""MATTEO RAELI""",SRTL01601X,M. CARNILIVARI,VIA PLATONE 4,96017,F943,NOTO,NORMALE,ISTITUTO TECNICO PER GEOMETRI,NO,Non Disponibile,SRIS016007@istruzione.it,Non Disponibile,https//www.istitutoraelinoto.edu.it/,SI
202526,ISOLE,SICILIA,SIRACUSA,SRIS011004,"""PIER LUIGI NERVI- ALAIMO "" LENTINI",SRTL01101R,PIER LUIGI NERVI,VIA R. DA LENTINI 89,96016,E532,LENTINI,NORMALE,ISTITUTO TECNICO PER GEOMETRI,NO,Non Disponibile,SRIS011004@istruzione.it,Non Disponibile,https//www.istitutonervialaimo.edu.it/,SI
202526,ISOLE,SICILIA,PALERMO,PAIS034005,ISTITUTO SUPERIORE O.M.CORBINO PARTINICO,PATF03401N,ISTITUTO SUPERIORE ITI O.M. CORBINO,VIA CATANZARO 3,90047,G348,PARTINICO,NORMALE,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,PAIS034005@istruzione.it,Non Disponibile,WWW.IIS-ORSOCORBINO.GOV.IT,SI
202526,ISOLE,SICILIA,ENNA,ENIS01900T,"I.I.S. ""F.LLI TESTA""",ENTD019014,ALESSANDRO VOLTA,VIALE VITTORIO VENETO 59,94014,F892,NICOSIA,NORMALE,IST TEC COMMERCIALE E PER GEOMETRI,NO,Non Disponibile,ENIS01900T@istruzione.it,Non Disponibile,www.liceotesta.it,SI
202526,ISOLE,SICILIA,CATANIA,CTIS007008,I.S.I.S. D. ABRUZZI POLITECNICO DEL MARE,CTTH007018,DUCA DEGLI ABRUZZI,VIALE ARTALE ALAGONA 99,95126,C351,CATANIA,NORMALE,ISTITUTO TECNICO NAUTICO,NO,Non Disponibile,CTIS007008@istruzione.it,Non Disponibile,www.politecnicodelmare.edu.it,SI
202526,ISOLE,SICILIA,CATANIA,CTTD22000N,"I.T.E.T. ""ENRICO DE NICOLA""",CTTD22000N,"I.T.E.T. ""ENRICO DE NICOLA""",VIA G. MOTTA 85,95037,H922,SAN GIOVANNI LA PUNTA,NORMALE,IST TEC COMMERCIALE E PER GEOMETRI,SI,Non Disponibile,CTTD22000N@istruzione.it,cttd22000n@pec.istruzione.it,https//www.denicola.edu.it,SI
202526,ISOLE,SICILIA,PALERMO,PAIS018007,I.I.S. P. DOMINA PETRALIA SOTTANA,PATF01801Q,"I.T.I. ""ELETTRONICA ED ELETTROTECNICA """,CORSO UMBERTO I,90026,G510,PETRALIA SOPRANA,NORMALE,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,PAIS018007@istruzione.it,Non Disponibile,https//iispietrodomina.edu.it,SI
202526,ISOLE,SICILIA,PALERMO,PAIS03600R,"I.I.S.S. "" GIOENI - TRABIA """,PATH03601R,"ITTL ""GIOENI - TRABIA""",VIA VITTORIO EMANUELE 27,90133,G273,PALERMO,NORMALE,ISTITUTO TECNICO NAUTICO,NO,Non Disponibile,PAIS03600R@istruzione.it,Non Disponibile,www.nauticopa.edu.it,SI
202526,ISOLE,SICILIA,CATANIA,CTIS05600D,ISTITUTO SUPERIORE VIZZINI,CTTD05601Q,I.S. MAJORANA AFM - TURISTICO VIZZINI,VIA BUCCHERI,95049,M100,VIZZINI,NORMALE,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,CTIS05600D@istruzione.it,Non Disponibile,www.icvizzini.edu.it,SI
202526,ISOLE,SICILIA,TRAPANI,TPIS01400B,"I.I.S.S. ""R. D'ALTAVILLA -",TPTF01401X,"I.T.I. ""R. D'ALTAVILLA"" MAZARA DEL VALLO",C/DA AFFACCIATA - PIAZZA SANDRO PERTINI,91026,F061,MAZARA DEL VALLO,NORMALE,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,TPIS01400B@istruzione.it,Non Disponibile,www.isruggierodaltavilla.edu.it,SI
202526,ISOLE,SICILIA,CATANIA,CTTD18000C,PIETRO BRANCHINA,CTTD18000C,PIETRO BRANCHINA,VIA PASQUALE SIMONE NERI 11,95031,A056,ADRANO,NORMALE,IST TEC COMMERCIALE E PER GEOMETRI,SI,Non Disponibile,CTTD18000C@istruzione.it,cttd18000c@pec.istruzione.it,www.branchina.edu.it,SI
202526,ISOLE,SICILIA,ENNA,ENIS02100T,"I.I.S. ""A. LINCOLN""",ENTD021014,DUCA D'AOSTA,VIA SALVATORE MAZZA 3/5,94100,C342,ENNA,NORMALE,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,ENIS02100T@istruzione.it,Non Disponibile,http//www.iisabramolincolnenna.gov.it,SI
202526,ISOLE,SICILIA,SIRACUSA,SRIS011004,"""PIER LUIGI NERVI- ALAIMO "" LENTINI",SRTD01151Q,IST. TEC. COMM. SERALE,VIA RICCARDO DA LENTINI 89B,96016,E532,LENTINI,PERCORSO II LIVELLO,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,SRIS011004@istruzione.it,Non Disponibile,www.istitutonervialaimo.edu.it/,NO
202526,ISOLE,SICILIA,TRAPANI,TPIS01800P,"IST. ISTRUZ. SUP. ""L.DA VINCI"" TRAPANI",TPTH01801P,"I.T.N. ""MARINO TORRE"" TRAPANI",VIALE REGINA ELENA N.94,91100,L331,TRAPANI,NORMALE,ISTITUTO TECNICO NAUTICO,NO,Non Disponibile,TPIS01800P@istruzione.it,Non Disponibile,www.isdavincitorre.eu,SI
202526,ISOLE,SICILIA,MESSINA,MEIS023001,IIS BORGHESE - FARANDA - PATTI,METD02351L,IST.TECNICO COMMERCIALE BORGHESE,VIA MONSIGNORE A.FICARRA,Non Disponibile,G377,PATTI,PERCORSO II LIVELLO,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,MEIS023001@istruzione.it,Non Disponibile,wwwiisborghesefaranda.edu.it,NO
202526,ISOLE,SICILIA,PALERMO,PAIS04400Q,IS DUCA ABRUZZI - E. PARETO,PATD04451B,ITC. DUCA ABRUZZI- GRASSI,VIA FAZIO 1,90146,G273,PALERMO,PERCORSO II LIVELLO,IST TEC COMMERCIALE E PER GEOMETRI,NO,Non Disponibile,PAIS04400Q@istruzione.it,Non Disponibile,www.iisdalessandro.com,NO
202526,ISOLE,SICILIA,SIRACUSA,SRIS009004,"IS ""RUIZ"" DI AUGUSTA",SRTF00904Q,IST.TEC. SETT.TECNOLOGICO,Non Disponibile,96010,M279,PRIOLO GARGALLO,NORMALE,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,SRIS009004@istruzione.it,Non Disponibile,www.2superioreaugusta.edu.it,SI
202526,ISOLE,SICILIA,AGRIGENTO,AGIS027004,IIS - GALILEO GALILEI,AGTD02702B,"""FEDERICO II""",VIA BANDINO,92028,F845,NARO,NORMALE,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,AGIS027004@istruzione.it,Non Disponibile,www.GALILEICANICATTI.GOV.IT,SI
202526,ISOLE,SICILIA,AGRIGENTO,AGIS01100E,IIS - ENRICO FERMI - RE CAPRIATA,AGTL011017,INES GIGANTI CURELLA,VIA FILIPPO RE GRILLO (C. DA CANNELLE),92027,E573,LICATA,NORMALE,ISTITUTO TECNICO PER GEOMETRI,NO,Non Disponibile,AGIS01100E@istruzione.it,Non Disponibile,www.fermilicata.edu.it,SI
202526,ISOLE,SICILIA,SIRACUSA,SRIS017003,"""ARCHIMEDE"" ROSOLINI",SRTF01701G,ISTITUTO TECNICO INDUSTRIALE STATALE,SANTA ALESSANDRA KM1,96019,H574,ROSOLINI,NORMALE,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,SRIS017003@istruzione.it,Non Disponibile,www.istitutosuperiorearchimede.edu.it,SI
202526,ISOLE,SICILIA,MESSINA,METF03000G,ITT-LSSA COPERNICO,METF03000G,ITT-LSSA COPERNICO,VIA ROMA 250,98051,A638,BARCELLONA POZZO DI GOTTO,NORMALE,ISTITUTO TECNICO INDUSTRIALE,SI,Non Disponibile,METF03000G@istruzione.it,metf03000g@pec.istruzione.it,www.istitutocopernico.edu.it,SI
202526,ISOLE,SICILIA,PALERMO,PAIS01100C,I.I.S.S. LERCARA FRIDDI,PATD011503,M.PICONE,C.DA CATUSI,90038,H070,PRIZZI,PERCORSO II LIVELLO,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,PAIS01100C@istruzione.it,Non Disponibile,www.iisslercarafriddi.it,NO
202526,ISOLE,SICILIA,TRAPANI,TPIS01400B,"I.I.S.S. ""R. D'ALTAVILLA -",TPTL01402L,SEZ. STACC. I.T.G. PETROSINO,C.DA TORREGGIANO - VIA R.R. SORRENTINO,91020,M281,PETROSINO,NORMALE,ISTITUTO TECNICO PER GEOMETRI,NO,Non Disponibile,TPIS01400B@istruzione.it,Non Disponibile,www.isruggierodaltavilla.edu.it,SI
202526,ISOLE,SICILIA,RAGUSA,RGIS00600Q,GIORGIO LA PIRA,RGTH006504,IST.TECNOL.NAUTICO SERALE G. LA PIRA -,VIA E. GIUNTA 5,97016,G953,POZZALLO,PERCORSO II LIVELLO,ISTITUTO TECNICO NAUTICO,NO,Non Disponibile,RGIS00600Q@istruzione.it,Non Disponibile,ISLAPIRA.EDU.IT,NO
202526,ISOLE,SICILIA,AGRIGENTO,AGIS026008,IIS - ARCHIMEDE,AGTF02601R,"ITI ""ARCHIMEDE""",VIA G. BONFIGLIO44,92022,B486,CAMMARATA,NORMALE,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,AGIS026008@istruzione.it,Non Disponibile,www.iiss-archimede.edu.it,SI
202526,ISOLE,SICILIA,TRAPANI,TPTD03000E,"I.T.E.T. ""G. GARIBALDI"" MARSALA",TPTD03050X,"I.T.E.T. ""GARIBALDI"" CORSO SERALE",VIA DANTE ALIGHIERI 120,91025,E974,MARSALA,PERCORSO II LIVELLO,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,TPTD03000E@istruzione.it,Non Disponibile,www.itetgaribaldi.edu.it,NO
202526,ISOLE,SICILIA,PALERMO,PAIS02400E,E. MEDI,PATF024013,ENRICO MEDI,VIA LEONARDO DA VINCI 364,90135,G273,PALERMO,NORMALE,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,PAIS02400E@istruzione.it,Non Disponibile,https//www.iissenricomedi.edu.it/,SI
202526,ISOLE,SICILIA,PALERMO,PATD09000P,CARLO ALBERTO DALLA CHIESA,PATD09000P,CARLO ALBERTO DALLA CHIESA,CORSO DEI MILLE 517,90047,G348,PARTINICO,NORMALE,IST TEC COMMERCIALE E PER GEOMETRI,SI,Non Disponibile,PATD09000P@istruzione.it,patd09000p@pec.istruzione.it,www.itdallachiesa.edu.it,SI
202526,ISOLE,SICILIA,PALERMO,PAIS018007,I.I.S. P. DOMINA PETRALIA SOTTANA,PATF018504,IST.TECN.INDUSTR.PETRALIA SOPRANA SERALE,CORSO UMBERTO I,90026,G510,PETRALIA SOPRANA,PERCORSO II LIVELLO,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,PAIS018007@istruzione.it,Non Disponibile,https//iispietrodomina.edu.it,NO
202526,ISOLE,SICILIA,MESSINA,MEIS03300G,"I.I.S.S. ""PUGLIATTI "" TAORMINA",METD03301T,"I.I.S.S. ""PUGLIATTI "" TAORMINA",CONTRADA ARANCIO SNC,98039,L042,TAORMINA,NORMALE,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,MEIS03300G@istruzione.it,Non Disponibile,www.iisspugliatti.edu.it,SI
202526,ISOLE,SICILIA,RAGUSA,RGIS003008,GIOSUE' CARDUCCI,RGTD00301E,IST. TECN. ECONOMICO G. CARDUCCI,VIA HO CHI MIN,97013,C927,COMISO,NORMALE,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,RGIS003008@istruzione.it,Non Disponibile,www.istitutocarducci.gov.it,SI
202526,ISOLE,SICILIA,CALTANISSETTA,CLIS01900D,"I.I.S. ""A. VOLTA""",CLTF019012,"""A. VOLTA""",VIA MARTOGLIO,93100,B429,CALTANISSETTA,NORMALE,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,CLIS01900D@istruzione.it,Non Disponibile,www.liceoscientificovolta.edu.it,SI
202526,ISOLE,SICILIA,CATANIA,CTTD160007,"I.T.E.""GIOACCHINO RUSSO""",CTTD160007,"I.T.E.""GIOACCHINO RUSSO""",VIA PARINIS.N.,95047,G371,PATERNO',NORMALE,ISTITUTO TECNICO COMMERCIALE,SI,Non Disponibile,CTTD160007@istruzione.it,cttd160007@pec.istruzione.it,www.iterusso.edu.it,SI
202526,ISOLE,SICILIA,CATANIA,CTIS01700V,IS G. B. VACCARINI,CTTF01701B,VACCARINI,VIA ORCHIDEA 9,95123,C351,CATANIA,NORMALE,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,CTIS01700V@istruzione.it,Non Disponibile,www.vaccarinict.edu.it/,SI
202526,ISOLE,SICILIA,CATANIA,CTIS03300R,I.S. G. FERRARIS,CTTF033019,ITI G. FERRARIS,VIA TRAPANI N.4,95024,A028,ACIREALE,NORMALE,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,CTIS03300R@istruzione.it,Non Disponibile,www.iissferraris.edu.it,SI
202526,ISOLE,SICILIA,PALERMO,PAIS027002,A. VOLTA,PATF02701E,A. VOLTA,PASSAGGIO DEI PICCIOTTI 1,90123,G273,PALERMO,NORMALE,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,PAIS027002@istruzione.it,Non Disponibile,www.iissvolta.edu.it,SI
202526,ISOLE,SICILIA,RAGUSA,RGTD03000T,F. BESTA,RGTD03002X,SEZ.STACCATA ITC BESTA RAGUSA,PIAZZA DEGLI STUDI,97017,I178,SANTA CROCE CAMERINA,NORMALE,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,RGTD03000T@ISTRUZIONE.IT,Non Disponibile,www.itcbesta.edu.it,SI
202526,ISOLE,SICILIA,CALTANISSETTA,CLIS01200P,"I.I.S. ""S. MOTTURA""",CLTF012017,SETTORE TECNOLOGICO S. MOTTURA,VIALE DELLA REGIONE 71,93100,B429,CALTANISSETTA,NORMALE,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,CLIS01200P@istruzione.it,Non Disponibile,www.istitutomottura.edu.it,SI
202526,ISOLE,SICILIA,PALERMO,PAIS013004,IISS STENIO,PATF01301L,ISTITUTO TEC.INDUS.DI CERDA,VIA ROMA N. 42,90010,C496,CERDA,NORMALE,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,PAIS013004@istruzione.it,Non Disponibile,www.stenio.gov.it,SI
202526,ISOLE,SICILIA,PALERMO,PAIS02300P,F. FERRARA,PATD02351A,F. FERRARA - SERALE,VIA SGARLATA 11,90133,G273,PALERMO,PERCORSO II LIVELLO,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,PAIS02300P@istruzione.it,Non Disponibile,www.francescoferrara.org,NO
202526,ISOLE,SICILIA,CATANIA,CTIS01100X,IISS BENEDETTO RADICE,CTTD01151G,BENEDETTO RADICE - SERALE,VIA SELVAGGI S.N.,95034,B202,BRONTE,PERCORSO II LIVELLO,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,CTIS01100X@istruzione.it,Non Disponibile,www.isradice.edu.it,NO
202526,ISOLE,SICILIA,CATANIA,CTIS04300B,MARCONI-MANGANO,CTTF043508,CORSO SERALE ISTITUTO TECNICO INDUSTR.,VIA VESCOVO MAURIZIO 82,95126,C351,CATANIA,PERCORSO II LIVELLO,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,CTIS04300B@istruzione.it,Non Disponibile,http//www.itimarconi.ct.it,NO
202526,ISOLE,SICILIA,MESSINA,METD08000A,"ITET ""E. FERMI"" ECONOMICO E TECNOLOGICO",METD08000A,"ITET ""E. FERMI"" ECONOMICO E TECNOLOGICO",VIA PITAGORA 42,98051,A638,BARCELLONA POZZO DI GOTTO,NORMALE,IST TEC COMMERCIALE E PER GEOMETRI,SI,Non Disponibile,METD08000A@istruzione.it,metd08000a@pec.istruzione.it,www.itcgtfermi.edu.it,SI
202526,ISOLE,SICILIA,MESSINA,MEIS00900P,I.S.MINUTOLI MESSINA,METL00951R,G. MINUTOLI (CORSO SERALE),FONDO FUCILE C.DA GAZZI,98147,F158,MESSINA,PERCORSO II LIVELLO,ISTITUTO TECNICO PER GEOMETRI,NO,Non Disponibile,MEIS00900P@istruzione.it,Non Disponibile,www.istitutosuperioreminutoli.gov.it,NO
202526,ISOLE,SICILIA,AGRIGENTO,AGIS02300R,IIS - N. GALLO - L. SCIASCIA,AGTD023024,LEONARDO SCIASCIA,VIA GIORGIO LA PIRA 10,92014,F299,PORTO EMPEDOCLE,NORMALE,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,AGIS02300R@istruzione.it,Non Disponibile,www.istitutosuperiorecrispiribera.gov.it,NO
202526,ISOLE,SICILIA,CATANIA,CTIS016003,FRANCESCO REDI,CTTF01650X,GALILEO FERRARIS SERALE,VIA LEONARDO SCIASCIA 3,95032,A766,BELPASSO,PERCORSO II LIVELLO,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,CTIS016003@istruzione.it,Non Disponibile,WWW.isfrancescoredi.gov.it,NO
202526,ISOLE,SICILIA,PALERMO,PAIS03800C,PIO LA TORRE,PATD03801P,"I.T. ECONOMICO E TURISMO ""PIO LA TORRE""",VIA NINA SICILIANA 22,90135,G273,PALERMO,NORMALE,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,PAIS03800C@istruzione.it,Non Disponibile,www.iisspiolatorre.edu.it,SI
202526,ISOLE,SICILIA,SIRACUSA,SRTF01000Q,E.FERMI,SRTF010505,"IST. TEC. IND. E.""FERMI"" SERALE",VIA TORINO N. 137,96100,I754,SIRACUSA,PERCORSO II LIVELLO,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,SRTF01000Q@istruzione.it,Non Disponibile,www.fermisiracusa.it,NO
202526,ISOLE,SICILIA,TRAPANI,TPIS02200A,"I.I.S.S. ""SCIASCIA E BUFALINO"" ERICE",TPTD02202N,"IST.TEC. ECONOMICO ""SCIASCIA E BUFALINO""",VIA CESARO' N.36,91016,D423,ERICE,NORMALE,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,TPIS02200A@istruzione.it,Non Disponibile,www.sciasciaebufalino.edu.it/,SI
202526,ISOLE,SICILIA,PALERMO,PAIS04400Q,IS DUCA ABRUZZI - E. PARETO,PATD044012,ITCG E TURISMO DUCA ABRUZZI - GRASSI,VIA FAZIO N. 1,90143,G273,PALERMO,NORMALE,IST TEC COMMERCIALE E PER GEOMETRI,NO,Non Disponibile,PAIS04400Q@istruzione.it,Non Disponibile,https//www.isducaeinaudipareto.edu.it/,SI
202526,ISOLE,SICILIA,PALERMO,PAIS02800T,E ASCIONE,PATF02801A,E. ASCIONE,VIA CENTURIPE 11,90135,G273,PALERMO,NORMALE,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,PAIS02800T@istruzione.it,Non Disponibile,www.iissernestoascione.edu.it,SI
202526,ISOLE,SICILIA,CATANIA,CTIS04200G,I.S. RAMACCA - PALAGONIA,CTTD042506,IT COMM. SERALE PALAGONIA,VIA C. BATTISTI S.N.,95046,G253,PALAGONIA,PERCORSO II LIVELLO,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,CTIS04200G@istruzione.it,Non Disponibile,www.iissramacca-palagonia.gov.it,NO
202526,ISOLE,SICILIA,AGRIGENTO,AGIS02400L,IIS - ENRICO FERMI,AGTF024015,E. FERMI,VIA MINIERA TACCIA CACI PIRANDELLO,92021,A351,ARAGONA,NORMALE,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,AGIS02400L@istruzione.it,Non Disponibile,www.iissfermi.edu.it,SI
202526,ISOLE,SICILIA,CATANIA,CTIS01700V,IS G. B. VACCARINI,CTTL01701G,G. B. VACCARINI,VIA ORCHIDEA 9,95123,C351,CATANIA,NORMALE,ISTITUTO TECNICO PER GEOMETRI,NO,Non Disponibile,CTIS01700V@istruzione.it,Non Disponibile,www.vaccarinict.it/,SI
202526,ISOLE,SICILIA,CATANIA,CTIS03800X,I.I.S. FERMI EREDIA,CTTA038504,F.EREDIA CORSO SERALE,VIA DEL BOSCO N.43,95125,C351,CATANIA,PERCORSO II LIVELLO,ISTITUTO TECNICO AGRARIO,NO,Non Disponibile,CTIS03800X@istruzione.it,Non Disponibile,www.FERMIEREDIA.IT,NO
202526,ISOLE,SICILIA,SIRACUSA,SRIS029009,L. EINAUDI,SRTL029034,IIS EINAUDI ITG CASA CIRCOND. CAVADONNA,STR. MONASTERI 20,96100,D636,FLORIDIA,SPEC. PER CARCERARI,ISTITUTO TECNICO PER GEOMETRI,NO,Non Disponibile,SRIS029009@istruzione.it,Non Disponibile,http//www.istitutoraelinoto.gov.it/,SI
