scheda,claim,valore,unita,fonte,cautela
2. genere,"ritenzione della coorte F 25-29, Bagheria contro Italia",96.3 / 103.0,per 100,genere_coorti.csv,"saldo netto di coorte, non un conteggio di partenze"
2. genere,"residenti 9-24 con almeno il diploma, di cui terziari",2864 / 258,persone,censpop_istr_lav_long.csv,"la fascia 9-24 non ha ancora finito di studiare: e' il titolo detenuto, non quello finale"
2. genere,"di chi ha almeno il diploma, quota che si ferma al diploma",90.99162011173185,%,censpop_istr_lav_long.csv,
2. genere,"catena dei titoli 2011, scarto vs Sicilia (I8 / I6 / I7)",+0.2 / -5.7 / -3.9,p.p.,edu_historical_benchmarks_2011.csv,"tre fasce d'eta' diverse: e' una scala di gradini, non una serie"
3. pendolarismo,"di chi esce per studio (2011), quota diretta a Palermo",91.0902696365768,%,mob_sintesi.csv / mob_flussi_bagheria.csv,"97o percentile dei 381 non capoluogo, quota verso il proprio capoluogo"
3. pendolarismo,"di chi esce per lavoro (2021), quota diretta a Palermo",65.07903494176372,%,mob_sintesi.csv,definizione 2021 diversa dal 2011: non e' una serie
3. pendolarismo,"divario F-M sull'uscire per studio, 2011",2.621171977168105,p.p.,mob_ribaltamento_territori.csv,"conteggio esaustivo, nessuna eta' nella fonte"
3. pendolarismo,"divario F-M sull'uscire per lavoro, 2011",-12.05183695732424,p.p.,mob_ribaltamento_territori.csv,15o percentile dei 390 comuni
3. pendolarismo,ribaltamento studio->lavoro,14.673008934492346,p.p.,mob_ribaltamento_territori.csv,"Sicilia 6,0 - il salto e' 2,5 volte il regionale"
3. pendolarismo,"quota treno fra chi esce, donne / uomini",31.5 / 16.4,%,mob_mezzo_genere.csv,stima campionaria calibrata sui margini esatti
3. pendolarismo,percentile siciliano di Bagheria per uso del treno,97.6923076923077,percentile,mob_treno_390.csv,il treno non e' sottoutilizzato
3. pendolarismo,"Spearman treno x divario di genere sul lavoro, 390 comuni",rho=0.06 p=0.27,-,mob_treno_390.csv + mob_ribaltamento_390.csv,RISULTATO NEGATIVO: l'offerta di trasporto non spiega il divario
3. pendolarismo,residuo di Bagheria a parita' di taglia e distanza,-1.8848821696426867,p.p.,mob_taglia_distanza.csv,«Bagheria si muove poco» non regge al controllo
3. pendolarismo,donne in piu' fuori comune col divario medio siciliano,279.0116187990033,persone,mob_sintesi.csv,bersaglio del KPI; parita' piena = 449
3. pendolarismo,"percentile di Bagheria fra i 381 non capoluogo, quota grezza -> residuo",36 -> 48,percentile,mob_taglia_distanza.csv,a parita' di taglia e distanza Bagheria e' nella media
4. Ponte 19,"platea femminile 15-24, 2024 -> 2029 -> 2034",2882 -> 2651 -> 2435,persone,genere_platea.csv,"conteggio di chi e' gia' nato e residente, non una proiezione"
4. Ponte 19,variazione della platea F al 2034,-15.5,%,genere_platea.csv,"sui maschi e' -5,8%: l'asimmetria e' locale"
4. Ponte 19,"KPI lordo, attrito e netto al 2029",40.4 / -22.2 / 18.2,occupate,genere_kpi_netto.csv,al tasso obiettivo di Palermo
4. Ponte 19,KPI netto al 2034,-2.5,occupate,genere_kpi_netto.csv,"DIVERSO dallo scenario «non si fa niente» (-19/-37, genere_tetto_platea.csv)"
4. Ponte 19,"scenario «non si fa niente», 2029 / 2034",-18.9 / -36.6,occupate,genere_tetto_platea.csv,tasso 2024 fermo
4. Ponte 19,MDE osservata sul triennio contro delta da rilevare,2.25 vs 1.4,p.p.,genere_mde.csv,"nessuna finestra arriva all'80% nei comuni simili: il tasso si legge come direzione, l'effetto si misura sui partecipanti"
4. Ponte 19,"inattivi non studenti 15-24, F / M",573 / 549,persone,genere_composizione_stato_dettaglio.csv,51% F: il gruppo non e' femminile
4. Ponte 19,pendenza del tasso F 2018-2024 e test di pre-trend vs Palermo,0.65 pp/anno; p=0.29,-,genere_pretrend.csv,"prerequisito del controfattuale, testato non assunto"
4. Ponte 19,"sedi di istituto tecnico, Bagheria / Palermo",3 / 23,sedi,edu_technical_schools.csv,anagrafe MIUR: sono i canali della finestra A
4. Ponte 19,"percentile siciliano del treno, e residuo a parita' di taglia e distanza",98 / -1.9,percentile e p.p.,mob_treno_390.csv + mob_taglia_distanza.csv,"le due misure per cui la mobilita' e' un vincolo, non un capitolo di spesa"
