DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,LABPROF_STATUS_A,EURO_LABOUR_STATUS,EDU_LEV_HIGHEST,CITIZENSHIP,ROLE_IN_HOUSEHOLD,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_LABPROF_STATUS_A,NOTE_EURO_LABOUR_STATUS,NOTE_EDU_LEV_HIGHEST,NOTE_CITIZENSHIP,NOTE_ROLE_IN_HOUSEHOLD,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-24,99,TOT,99,TOTAL,TOT,2018,19.298646,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-24,99,TOT,99,TOTAL,TOT,2019,17.84267,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-24,99,TOT,99,TOTAL,TOT,2020,19.00621,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-24,99,TOT,99,TOTAL,TOT,2021,20.002734,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-24,99,TOT,99,TOTAL,TOT,2022,15.401463,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-24,99,TOT,99,TOTAL,TOT,2023,12.279504,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-24,99,TOT,99,TOTAL,TOT,2024,11.596079,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-24,99,TOT,99,TOTAL,TOT,2025,9.862341,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-29,99,TOT,99,TOTAL,TOT,2018,25.170094,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-29,99,TOT,99,TOTAL,TOT,2019,24.100728,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-29,99,TOT,99,TOTAL,TOT,2020,25.84208,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-29,99,TOT,99,TOTAL,TOT,2021,25.038407,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-29,99,TOT,99,TOTAL,TOT,2022,20.469958,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-29,99,TOT,99,TOTAL,TOT,2023,17.8412,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-29,99,TOT,99,TOTAL,TOT,2024,16.633438,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-29,99,TOT,99,TOTAL,TOT,2025,14.932451,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-34,99,TOT,99,TOTAL,TOT,2018,28.590406,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-34,99,TOT,99,TOTAL,TOT,2019,27.606421,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-34,99,TOT,99,TOTAL,TOT,2020,29.670325,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-34,99,TOT,99,TOTAL,TOT,2021,28.570908,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-34,99,TOT,99,TOTAL,TOT,2022,24.698934,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-34,99,TOT,99,TOTAL,TOT,2023,21.754186,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-34,99,TOT,99,TOTAL,TOT,2024,20.648138,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y15-34,99,TOT,99,TOTAL,TOT,2025,19.05245,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y18-29,99,TOT,99,TOTAL,TOT,2018,29.783349,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y18-29,99,TOT,99,TOTAL,TOT,2019,28.536738,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y18-29,99,TOT,99,TOTAL,TOT,2020,30.800324,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y18-29,99,TOT,99,TOTAL,TOT,2021,29.056231,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y18-29,99,TOT,99,TOTAL,TOT,2022,23.931115,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y18-29,99,TOT,99,TOTAL,TOT,2023,21.730156,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y18-29,99,TOT,99,TOTAL,TOT,2024,20.311037,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,2,Y18-29,99,TOT,99,TOTAL,TOT,2025,18.326994,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-24,99,TOT,99,TOTAL,TOT,2018,19.115984,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-24,99,TOT,99,TOTAL,TOT,2019,17.992676,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-24,99,TOT,99,TOTAL,TOT,2020,19.170064,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-24,99,TOT,99,TOTAL,TOT,2021,19.756526,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-24,99,TOT,99,TOTAL,TOT,2022,15.857568,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-24,99,TOT,99,TOTAL,TOT,2023,12.672271,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-24,99,TOT,99,TOTAL,TOT,2024,11.959324,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-24,99,TOT,99,TOTAL,TOT,2025,9.908812,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-29,99,TOT,99,TOTAL,TOT,2018,23.184508,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-29,99,TOT,99,TOTAL,TOT,2019,22.067804,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-29,99,TOT,99,TOTAL,TOT,2020,23.742047,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-29,99,TOT,99,TOTAL,TOT,2021,23.066929,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-29,99,TOT,99,TOTAL,TOT,2022,19.036906,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-29,99,TOT,99,TOTAL,TOT,2023,16.056448,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-29,99,TOT,99,TOTAL,TOT,2024,15.190796,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-29,99,TOT,99,TOTAL,TOT,2025,13.320796,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-34,99,TOT,99,TOTAL,TOT,2018,24.592638,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-34,99,TOT,99,TOTAL,TOT,2019,23.644848,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-34,99,TOT,99,TOTAL,TOT,2020,25.512884,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-34,99,TOT,99,TOTAL,TOT,2021,24.430603,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-34,99,TOT,99,TOTAL,TOT,2022,20.805513,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-34,99,TOT,99,TOTAL,TOT,2023,18.035435,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-34,99,TOT,99,TOTAL,TOT,2024,17.323425,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y15-34,99,TOT,99,TOTAL,TOT,2025,15.581164,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y18-29,99,TOT,99,TOTAL,TOT,2018,27.319434,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y18-29,99,TOT,99,TOTAL,TOT,2019,25.888761,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y18-29,99,TOT,99,TOTAL,TOT,2020,28.214331,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y18-29,99,TOT,99,TOTAL,TOT,2021,26.594033,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y18-29,99,TOT,99,TOTAL,TOT,2022,22.114621,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y18-29,99,TOT,99,TOTAL,TOT,2023,19.444776,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y18-29,99,TOT,99,TOTAL,TOT,2024,18.426117,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,9,Y18-29,99,TOT,99,TOTAL,TOT,2025,16.231072,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-24,99,TOT,99,TOTAL,TOT,2018,30.966322,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-24,99,TOT,99,TOTAL,TOT,2019,30.741395,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-24,99,TOT,99,TOTAL,TOT,2020,31.731836,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-24,99,TOT,99,TOTAL,TOT,2021,30.028757,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-24,99,TOT,99,TOTAL,TOT,2022,26.38327,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-24,99,TOT,99,TOTAL,TOT,2023,23.109055,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-24,99,TOT,99,TOTAL,TOT,2024,21.468405,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-24,99,TOT,99,TOTAL,TOT,2025,17.198237,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-29,99,TOT,99,TOTAL,TOT,2018,36.582584,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-29,99,TOT,99,TOTAL,TOT,2019,36.136367,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-29,99,TOT,99,TOTAL,TOT,2020,36.234991,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-29,99,TOT,99,TOTAL,TOT,2021,33.438049,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-29,99,TOT,99,TOTAL,TOT,2022,30.359409,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-29,99,TOT,99,TOTAL,TOT,2023,25.555972,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-29,99,TOT,99,TOTAL,TOT,2024,24.185596,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-29,99,TOT,99,TOTAL,TOT,2025,21.071603,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-34,99,TOT,99,TOTAL,TOT,2018,36.807798,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-34,99,TOT,99,TOTAL,TOT,2019,35.639782,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-34,99,TOT,99,TOTAL,TOT,2020,37.17315,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-34,99,TOT,99,TOTAL,TOT,2021,34.869375,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-34,99,TOT,99,TOTAL,TOT,2022,31.610038,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-34,99,TOT,99,TOTAL,TOT,2023,27.157218,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-34,99,TOT,99,TOTAL,TOT,2024,25.219984,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y15-34,99,TOT,99,TOTAL,TOT,2025,23.066165,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y18-29,99,TOT,99,TOTAL,TOT,2018,42.855638,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,ITG1,NEET_I,1,Y18-29,99,TOT,99,TOTAL,TOT,2019,42.091247,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
